Date,RF
20000114,0.1
20000121,0.1
20000128,0.1
20000204,0.11
20000211,0.11
20000218,0.11
20000225,0.11
20000303,0.12
20000310,0.12
20000317,0.12
20000324,0.12
20000331,0.12
20000407,0.11
20000414,0.11
20000420,0.11
20000428,0.11
20000505,0.13
20000512,0.13
20000519,0.13
20000526,0.13
20000602,0.1
20000609,0.1
20000616,0.1
20000623,0.1
20000630,0.1
20000707,0.12
20000714,0.12
20000721,0.12
20000728,0.12
20000804,0.13
20000811,0.13
20000818,0.13
20000825,0.13
20000901,0.13
20000908,0.13
20000915,0.13
20000922,0.13
20000929,0.13
20001006,0.14
20001013,0.14
20001020,0.14
20001027,0.14
20001103,0.13
20001110,0.13
20001117,0.13
20001124,0.13
20001201,0.13
20001208,0.13
20001215,0.13
20001222,0.13
20001229,0.13
20010105,0.13
20010112,0.13
20010119,0.13
20010126,0.13
20010202,0.09
20010209,0.09
20010216,0.09
20010223,0.09
20010302,0.1
20010309,0.1
20010316,0.1
20010323,0.1
20010330,0.1
20010406,0.1
20010412,0.1
20010420,0.1
20010427,0.1
20010504,0.08
20010511,0.08
20010518,0.08
20010525,0.08
20010601,0.07
20010608,0.07
20010615,0.07
20010622,0.07
20010629,0.07
20010706,0.08
20010713,0.08
20010720,0.08
20010727,0.08
20010803,0.08
20010810,0.08
20010817,0.08
20010824,0.08
20010831,0.08
20010907,0.07
20010910,0.07
20010921,0.07
20010928,0.07
20011005,0.06
20011012,0.06
20011019,0.06
20011026,0.06
20011102,0.04
20011109,0.04
20011116,0.04
20011123,0.04
20011130,0.04
20011207,0.04
20011214,0.04
20011221,0.04
20011228,0.04
20020104,0.04
20020111,0.04
20020118,0.04
20020125,0.04
20020201,0.03
20020208,0.03
20020215,0.03
20020222,0.03
20020301,0.03
20020308,0.03
20020315,0.03
20020322,0.03
20020328,0.03
20020405,0.04
20020412,0.04
20020419,0.04
20020426,0.04
20020503,0.04
20020510,0.04
20020517,0.04
20020524,0.04
20020531,0.04
20020607,0.03
20020614,0.03
20020621,0.03
20020628,0.03
20020705,0.04
20020712,0.04
20020719,0.04
20020726,0.04
20020802,0.03
20020809,0.03
20020816,0.03
20020823,0.03
20020830,0.03
20020906,0.04
20020913,0.04
20020920,0.04
20020927,0.04
20021004,0.03
20021011,0.03
20021018,0.03
20021025,0.03
20021101,0.03
20021108,0.03
20021115,0.03
20021122,0.03
20021129,0.03
20021206,0.03
20021213,0.03
20021220,0.03
20021227,0.03
20030103,0.02
20030110,0.02
20030117,0.02
20030124,0.02
20030131,0.02
20030207,0.02
20030214,0.02
20030221,0.02
20030228,0.02
20030307,0.03
20030314,0.03
20030321,0.03
20030328,0.03
20030404,0.02
20030411,0.02
20030417,0.02
20030425,0.02
20030502,0.02
20030509,0.02
20030516,0.02
20030523,0.02
20030530,0.02
20030606,0.02
20030613,0.02
20030620,0.02
20030627,0.02
20030703,0.02
20030711,0.02
20030718,0.02
20030725,0.02
20030801,0.02
20030808,0.02
20030815,0.02
20030822,0.02
20030829,0.02
20030905,0.02
20030912,0.02
20030919,0.02
20030926,0.02
20031003,0.02
20031010,0.02
20031017,0.02
20031024,0.02
20031031,0.02
20031107,0.02
20031114,0.02
20031121,0.02
20031128,0.02
20031205,0.02
20031212,0.02
20031219,0.02
20031226,0.02
20040102,0.02
20040109,0.02
20040116,0.02
20040123,0.02
20040130,0.02
20040206,0.02
20040213,0.02
20040220,0.02
20040227,0.02
20040305,0.02
20040312,0.02
20040319,0.02
20040326,0.02
20040402,0.02
20040408,0.02
20040416,0.02
20040423,0.02
20040430,0.02
20040507,0.02
20040514,0.02
20040521,0.02
20040528,0.02
20040604,0.02
20040610,0.02
20040618,0.02
20040625,0.02
20040702,0.02
20040709,0.02
20040716,0.02
20040723,0.02
20040730,0.02
20040806,0.03
20040813,0.03
20040820,0.03
20040827,0.03
20040903,0.03
20040910,0.03
20040917,0.03
20040924,0.03
20041001,0.03
20041008,0.03
20041015,0.03
20041022,0.03
20041029,0.03
20041105,0.04
20041112,0.04
20041119,0.04
20041126,0.04
20041203,0.04
20041210,0.04
20041217,0.04
20041223,0.04
20041231,0.04
20050107,0.04
20050114,0.04
20050121,0.04
20050128,0.04
20050204,0.04
20050211,0.04
20050218,0.04
20050225,0.04
20050304,0.05
20050311,0.05
20050318,0.05
20050324,0.05
20050401,0.05
20050408,0.05
20050415,0.05
20050422,0.05
20050429,0.05
20050506,0.06
20050513,0.06
20050520,0.06
20050527,0.06
20050603,0.06
20050610,0.06
20050617,0.06
20050624,0.06
20050701,0.06
20050708,0.06
20050715,0.06
20050722,0.06
20050729,0.06
20050805,0.08
20050812,0.08
20050819,0.08
20050826,0.08
20050902,0.07
20050909,0.07
20050916,0.07
20050923,0.07
20050930,0.07
20051007,0.07
20051014,0.07
20051021,0.07
20051028,0.07
20051104,0.08
20051111,0.08
20051118,0.08
20051125,0.08
20051202,0.08
20051209,0.08
20051216,0.08
20051223,0.08
20051230,0.08
20060106,0.09
20060113,0.09
20060120,0.09
20060127,0.09
20060203,0.08
20060210,0.08
20060217,0.08
20060224,0.08
20060303,0.09
20060310,0.09
20060317,0.09
20060324,0.09
20060331,0.09
20060407,0.09
20060413,0.09
20060421,0.09
20060428,0.09
20060505,0.11
20060512,0.11
20060519,0.11
20060526,0.11
20060602,0.1
20060609,0.1
20060616,0.1
20060623,0.1
20060630,0.1
20060707,0.1
20060714,0.1
20060721,0.1
20060728,0.1
20060804,0.11
20060811,0.11
20060818,0.11
20060825,0.11
20060901,0.1
20060908,0.1
20060915,0.1
20060922,0.1
20060929,0.1
20061006,0.1
20061013,0.1
20061020,0.1
20061027,0.1
20061103,0.11
20061110,0.11
20061117,0.11
20061124,0.11
20061201,0.1
20061208,0.1
20061215,0.1
20061222,0.1
20061229,0.1
20070105,0.11
20070112,0.11
20070119,0.11
20070126,0.11
20070202,0.1
20070209,0.1
20070216,0.1
20070223,0.1
20070302,0.11
20070309,0.11
20070316,0.11
20070323,0.11
20070330,0.11
20070405,0.11
20070413,0.11
20070420,0.11
20070427,0.11
20070504,0.1
20070511,0.1
20070518,0.1
20070525,0.1
20070601,0.1
20070608,0.1
20070615,0.1
20070622,0.1
20070629,0.1
20070706,0.1
20070713,0.1
20070720,0.1
20070727,0.1
20070803,0.1
20070810,0.1
20070817,0.1
20070824,0.1
20070831,0.1
20070907,0.08
20070914,0.08
20070921,0.08
20070928,0.08
20071005,0.08
20071012,0.08
20071019,0.08
20071026,0.08
20071102,0.09
20071109,0.09
20071116,0.09
20071123,0.09
20071130,0.09
20071207,0.07
20071214,0.07
20071221,0.07
20071228,0.07
20080104,0.05
20080111,0.05
20080118,0.05
20080125,0.05
20080201,0.03
20080208,0.03
20080215,0.03
20080222,0.03
20080229,0.03
20080307,0.04
20080314,0.04
20080320,0.04
20080328,0.04
20080404,0.04
20080411,0.04
20080418,0.04
20080425,0.04
20080502,0.04
20080509,0.04
20080516,0.04
20080523,0.04
20080530,0.04
20080606,0.04
20080613,0.04
20080620,0.04
20080627,0.04
20080703,0.04
20080711,0.04
20080718,0.04
20080725,0.04
20080801,0.03
20080808,0.03
20080815,0.03
20080822,0.03
20080829,0.03
20080905,0.04
20080912,0.04
20080919,0.04
20080926,0.04
20081003,0.02
20081010,0.02
20081017,0.02
20081024,0.02
20081031,0.02
20081107,0.01
20081114,0.01
20081121,0.01
20081128,0.01
20081205,0
20081212,0
20081219,0
20081226,0
20090102,0
20090109,0
20090116,0
20090123,0
20090130,0
20090206,0
20090213,0
20090220,0
20090227,0
20090306,0
20090313,0
20090320,0
20090327,0
20090403,0
20090409,0
20090417,0
20090424,0
20090501,0
20090508,0
20090515,0
20090522,0
20090529,0
20090605,0
20090612,0
20090619,0
20090626,0
20090702,0
20090710,0
20090717,0
20090724,0
20090731,0
20090807,0
20090814,0
20090821,0
20090828,0
20090904,0
20090911,0
20090918,0
20090925,0
20091002,0
20091009,0
20091016,0
20091023,0
20091030,0
20091106,0
20091113,0
20091120,0
20091127,0
20091204,0
20091211,0
20091218,0
20091224,0
20091231,0
20100108,0
20100115,0
20100122,0
20100129,0
20100205,0
20100212,0
20100219,0
20100226,0
20100305,0
20100312,0
20100319,0
20100326,0
20100401,0
20100409,0
20100416,0
20100423,0
20100430,0
20100507,0
20100514,0
20100521,0
20100528,0
20100604,0
20100611,0
20100618,0
20100625,0
20100702,0
20100709,0
20100716,0
20100723,0
20100730,0
20100806,0
20100813,0
20100820,0
20100827,0
20100903,0
20100910,0
20100917,0
20100924,0
20101001,0
20101008,0
20101015,0
20101022,0
20101029,0
20101105,0
20101112,0
20101119,0
20101126,0
20101203,0
20101210,0
20101217,0
20101223,0
20101231,0
20110107,0
20110114,0
20110121,0
20110128,0
20110204,0
20110211,0
20110218,0
20110225,0
20110304,0
20110311,0
20110318,0
20110325,0
20110401,0
20110408,0
20110415,0
20110421,0
20110429,0
20110506,0
20110513,0
20110520,0
20110527,0
20110603,0
20110610,0
20110617,0
20110624,0
20110701,0
20110708,0
20110715,0
20110722,0
20110729,0
20110805,0
20110812,0
20110819,0
20110826,0
20110902,0
20110909,0
20110916,0
20110923,0
20110930,0
20111007,0
